Reference, Quantity, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status, Link, Mfr. No.
C1 ,1,"100u/16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","","","","","","","","https://ro.mouser.com/ProductDetail/Panasonic/EEE-FK1C101SR?qs=YCa%2FAAYMW01xEvgLKWuvRQ%3D%3D","EEE-FK1C101SR"
C11 ,1,"10uF/16V","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","","","","","","","","","https://ro.mouser.com/ProductDetail/Nichicon/UCQ1C100MCL1GB?qs=55YtniHzbhAF7rDcdgu07w%3D%3D","UCQ1C100MCL1GB"
C13 ,1,"33pF","","~"
C9 C15 C30 ,3,"10nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C17 C18 C20 C21 ,4,"470nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C10 C19 ,2,"10nF","","~"
C23 C24 ,2,"1nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C3 C12 C31 ,3,"100nF","","~"
C2 C4 C6 C8 C14 C16 C22 C25 C26 C27 C28 C29 ,12,"100nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C5 C7 ,2,"10uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","","","","","","","","","https://ro.mouser.com/ProductDetail/Nichicon/UCQ1C100MCL1GB?qs=55YtniHzbhAF7rDcdgu07w%3D%3D","UCQ1C100MCL1GB"
CON1 ,1,"HEADPHONE","digikey-footprints:Headphone_Jack_3.5mm_SJ1-3523N","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","/product-detail/en/cui-inc/SJ1-3523N/CP1-3523N-ND/738689","CONN JACK STEREO 3.5MM R/A","CP1-3523N-ND","Barrel - Audio Connectors","SJ1-3523N","CUI Inc.","Active","",""
CON2 ,1,"MIC/PTT","digikey-footprints:Headphone_Jack_3.5mm_SJ1-3523N","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf","/product-detail/en/cui-inc/SJ1-3523N/CP1-3523N-ND/738689","CONN JACK STEREO 3.5MM R/A","CP1-3523N-ND","Barrel - Audio Connectors","SJ1-3523N","CUI Inc.","Active","",""
